isbn;title
038550120X;A Painted House
0060517794;Little Altars Everywhere
0671537458;Waiting to Exhale
0684867621;The Girl Who Loved Tom Gordon : A Novel
0451166892;The Pillars of the Earth
043935806X;Harry Potter and the Order of the Phoenix (Book 5)
055310666X;False Memory
0330332775;Bridget Jones's Diary
0440498058;A Wrinkle In Time
0060096195;The Boy Next Door
0786817070;Artemis Fowl (Artemis Fowl, Book 1)
0440225825;Move to Strike
0345446860;Back When We Were Grownups : A Novel (Ballantine Reader's Circle)
0425167097;Toxin
042518109X;Whispers
0812533550;Ender's Game (Ender Wiggins Saga (Paperback))
0440241537;The King of Torts
002542730X;Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
0385504209;The Da Vinci Code
059030271X;Charlotte's Web
0446310786;To Kill a Mockingbird
0312966970;Four To Score (A Stephanie Plum Novel)
0345354621;The Terminal Man
0440220602;The Chamber
0886773741;Tailchaser's Song
0060930187;The Bell Jar : A Novel (Perennial Classics)
0375760911;The Idiot Girls' Action Adventure Club
0689817851;Go Ask Alice
0061083259;Dreamcatcher
0671793489;All Around the Town
3423202327;MÃ?ÃÂ¶rder ohne Gesicht.
3492045170;Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush
0812511816;The Eye of the World (The Wheel of Time, Book 1)
0312283709;Running with Scissors
0446605484;Roses Are Red (Alex Cross Novels)
0446611212;Violets Are Blue
0609804138;The Sweet Potato Queens' Book of Love
074343627X;Dreamcatcher
0971880107;Wild Animus
0330262130;Restaurant At the End of the Universe
0385720920;Choke
0553262505;A Wizard of Earthsea (Earthsea Trilogy, Book 1)
1573229571;About a Boy (Movie Tie-In)
0434009407;Hannibal
0064407667;The Bad Beginning (A Series of Unfortunate Events, Book 1)
0425191184;Red Rabbit
0425189864;Mortal Prey
0440236053;Writ of Execution
0440241073;The Summons
0553586122;Reap the Wind
0345342968;Fahrenheit 451
0767903382;Tender at the Bone: Growing Up at the Table
0316154059;City of Bones
0375727981;Saving Faith
0399146504;The Devil's Code
0399148639;Mortal Prey
0671024094;The Coffin Dancer (Lincoln Rhyme Novels (Paperback))
0679450408;Silent Witness
0743486226;"Angels &amp; Demons"
0671032658;The Green Mile
